complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Voglio del pane e della marmellata per colazione.,Voglio ___ pane e della marmellata per colazione.,I want some bread and some jam for breakfast.,,,del,il,un,di,A,A2,Articoli Partitivi,"Partitive articles (del, della, dei, delle) are used to express 'some' or an unspecified quantity of something.",https://www.lawlessitalian.com/grammar/articles/partitive/
Ci sono molti negozi nel centro della città.,___ sono molti negozi nel centro della città.,There are many shops in the city center.,,,Ci,Li,Ne,Vi,A,A2,Particella Ci,The particle 'ci' is used in the expression 'ci sono' (there are) and 'c'è' (there is) to indicate existence or presence.,https://www.lawlessitalian.com/grammar/pronouns/ci/
"Andiamo al cinema stasera? Sì, ci andiamo alle otto.","Andiamo al cinema stasera? Sì, ___ andiamo alle otto.","Are we going to the cinema tonight? Yes, we're going there at eight.",,,ci,li,ne,vi,A,A2,Particella Ci,"The particle 'ci' can replace a place or location, meaning 'there' when referring to a previously mentioned place.",https://www.lawlessitalian.com/grammar/pronouns/ci/
Il negozio d'abbigliamento è vicino alla farmacia.,Il negozio d'abbigliamento è vicino ___ farmacia.,The clothing store is near the pharmacy.,,,alla,la,di la,a la,A,A2,Shopping (vocabolario),The preposition 'a' contracts with the definite article 'la' to form 'alla' (to/at the).,https://www.lawlessitalian.com/grammar/articles/contractions/
Mia sorella è molto simpatica e generosa.,Mia sorella è molto ___ e generosa.,My sister is very nice and generous.,,,simpatica,simpatico,simpatiche,simpatici,A,A2,Descrizioni Fisiche e del Carattere (vocabolario),"Adjectives must agree in gender and number with the noun they modify. 'Sorella' is feminine singular, so the adjective must be 'simpatica'.",https://www.lawlessitalian.com/grammar/adjectives/agreement/
Abitiamo in un appartamento al terzo piano.,Abitiamo in ___ appartamento al terzo piano.,We live in an apartment on the third floor.,,,un,uno,una,un',A,A2,Casa e Quartiere (vocabolario),"The indefinite article 'un' is used before masculine nouns starting with consonants (except z, gn, ps, s+consonant).",https://www.lawlessitalian.com/grammar/articles/indefinite/
Ieri ho visto un bel film al cinema.,Ieri ho ___ un bel film al cinema.,Yesterday I saw a good movie at the cinema.,,,visto,veduto,vista,vedere,A,A2,Participio Passato (irregolari frequenti),"The past participle of 'vedere' is 'visto'. With auxiliary 'avere', the participle doesn't agree with the subject.",https://www.lawlessitalian.com/grammar/verbs/past-participle/
La mattina faccio la doccia e poi faccio colazione.,La mattina ___ la doccia e poi faccio colazione.,In the morning I take a shower and then have breakfast.,,,faccio,prendo,do,ho,A,A2,Routine Quotidiana Dettagliata (vocabolario),"In Italian, we say 'fare la doccia' (to take a shower) using the verb 'fare' (to do/make).",https://www.lawlessitalian.com/vocabulary/daily-routine/
Ho comprato delle scarpe nuove e una borsa.,Ho comprato ___ scarpe nuove e una borsa.,I bought some new shoes and a bag.,,,delle,le,alcune,di,A,A2,Confronto Articoli,"Partitive article 'delle' (some) is used with feminine plural nouns to express an unspecified quantity, different from definite article 'le'.",https://www.lawlessitalian.com/grammar/articles/partitive/
Ci sono molti negozi nel mio quartiere.,___ sono molti negozi nel mio quartiere.,There are many shops in my neighborhood.,,,Ci,Li,Gli,Ne,A,A2,Particella Ci,The particle 'ci' is used in the expression 'ci sono' meaning 'there are' to indicate existence or presence.,https://www.lawlessitalian.com/grammar/ci/
Non ci vado spesso al cinema.,Non ___ vado spesso al cinema.,I don't go to the cinema often.,,,ci,li,ne,gli,A,A2,Particella Ci,The particle 'ci' replaces a location complement introduced by 'a' (al cinema = there).,https://www.lawlessitalian.com/grammar/ci/
Il mio appartamento è più grande del tuo.,Il mio appartamento è ___ grande del tuo.,My apartment is bigger than yours.,,,più,molto,tanto,meglio,A,A2,Casa e Quartiere (vocabolario),"The comparative 'più... di/del' is used to compare two things, meaning 'more... than'.",https://www.lawlessitalian.com/grammar/comparative/
Maria è la più brava della classe.,Maria è ___ più brava della classe.,Maria is the best in the class.,,,la,una,molto,tanto,A,A2,Comparativi e Superlativi,The relative superlative requires the definite article 'la' before 'più' when the subject is feminine.,https://www.lawlessitalian.com/grammar/superlative/
Mia sorella ha i capelli lunghi e ricci.,Mia sorella ha i capelli lunghi e ___.,My sister has long and curly hair.,,,ricci,riccia,ricce,riccio,A,A2,Descrizioni Fisiche e del Carattere (vocabolario),"The adjective 'ricci' agrees with 'capelli' (masculine plural), meaning 'curly'.",https://www.lawlessitalian.com/grammar/adjective-agreement/
Ho già mangiato la pizza.,Ho già ___ la pizza.,I have already eaten the pizza.,,,mangiato,mangiata,mangiati,mangiate,A,A2,Participio Passato (irregolari frequenti),"With auxiliary 'avere', the past participle normally doesn't agree with the direct object, so 'mangiato' remains unchanged.",https://www.lawlessitalian.com/grammar/past-participle-agreement/
La mattina mi sveglio sempre alle sette.,La mattina ___ sveglio sempre alle sette.,In the morning I always wake up at seven.,,,mi,ti,si,ci,A,A2,Routine Quotidiana Dettagliata (vocabolario),The reflexive pronoun 'mi' is used with the reflexive verb 'svegliarsi' (to wake up) in the first person singular.,https://www.lawlessitalian.com/grammar/reflexive-verbs/
Preferisco il caffè al tè.,Preferisco ___ caffè al tè.,I prefer coffee to tea.,,,il,del,un,qualche,A,A2,Confronto Articoli,The definite article 'il' is used with 'caffè' to express a general preference for coffee as a category.,https://www.lawlessitalian.com/grammar/definite-articles/
Ho bisogno degli articoli definiti per questa lezione.,Ho bisogno ___ articoli definiti per questa lezione.,I need the definite articles for this lesson.,,,degli,dei,di,dalle,A,A2,Confronto Articoli,"The preposition 'di' contracts with the definite article 'gli' to form 'degli' before masculine plural nouns starting with vowels, s+consonant, or z.",https://www.lawlessitalian.com/grammar/articles/definite-articles
Ci vado spesso il weekend.,___ vado spesso il weekend.,I go there often on weekends.,,,Ci,Vi,Ne,Gli,A,A2,Particella Ci,"The particle 'ci' means 'there' and replaces a previously mentioned place (là, lì, in quel posto).",https://www.lawlessitalian.com/grammar/pronouns/ci-particle
Non ci sono più biglietti disponibili.,Non ___ sono più biglietti disponibili.,There are no more tickets available.,,,ci,ne,vi,li,A,A2,Particella Ci,"In the expression 'c'è/ci sono' (there is/there are), 'ci' is an essential part of the existential construction.",https://www.lawlessitalian.com/grammar/pronouns/ci-particle
"Vorrei del pane fresco, per favore.","Vorrei ___ pane fresco, per favore.","I would like some fresh bread, please.",,,del,il,un,di,A,A2,Articoli Partitivi,The partitive article 'del' (di + il) expresses 'some' or an unspecified quantity of a masculine singular noun.,https://www.lawlessitalian.com/grammar/articles/partitive-articles
La mia camera da letto è al secondo piano.,La mia ___ è al secondo piano.,My bedroom is on the second floor.,,,camera da letto,cucina,bagno,salotto,A,A2,Casa e Quartiere (vocabolario),"Camera da letto means bedroom, typically located upstairs in a multi-story house.",https://www.lawlessitalian.com/vocabulary/house-home
Questo libro è più interessante di quello.,Questo libro è ___ interessante di quello.,This book is more interesting than that one.,,,più,meno,molto,tanto,A,A2,Comparativi e Superlativi,The comparative of superiority is formed with 'più + adjective + di' to express 'more...than'.,https://www.lawlessitalian.com/grammar/adjectives/comparative-superlative
Quanto costa questa maglietta?,___ costa questa maglietta?,How much does this t-shirt cost?,,,Quanto,Quanta,Quanti,Quante,A,A2,Shopping (vocabolario),'Quanto' is used to ask about price or quantity and doesn't change form when asking 'quanto costa?' (how much does it cost?).,https://www.lawlessitalian.com/vocabulary/shopping
Ieri sera ho visto un bel film.,Ieri sera ho ___ un bel film.,Last night I saw a good movie.,,,visto,veduto,guardato,vedere,A,A2,Participio Passato (irregolari frequenti),The past participle of 'vedere' is 'visto' (irregular). 'Veduto' exists but 'visto' is more commonly used in spoken Italian.,https://www.lawlessitalian.com/grammar/verbs/past-participle
Domani sera andremo al cinema insieme.,Domani sera ___ al cinema insieme.,Tomorrow evening we will go to the cinema together.,,,andremo,andiamo,siamo andati,andavamo,A,A2,"Programmi (piani futuri, inviti)",Per esprimere piani futuri si usa il futuro semplice. 'Andremo' è la prima persona plurale del futuro di 'andare'.,https://www.lawlessitalian.com/grammar/verbs/future/
Ti invito alla mia festa di compleanno sabato prossimo.,___ alla mia festa di compleanno sabato prossimo.,I'm inviting you to my birthday party next Saturday.,you singular,,Ti invito,Vi invito,Gli invito,Le invito,A,A2,"Programmi (piani futuri, inviti)",Per fare un invito informale si usa 'ti invito' (pronome diretto 'ti' per la seconda persona singolare).,https://www.lawlessitalian.com/grammar/pronouns/direct-object/
"Marco, chiudi la finestra per favore!","Marco, ___ la finestra per favore!","Marco, close the window please!",,,chiudi,chiude,chiudete,chiudere,A,A2,Imperativo (tu/noi/voi),L'imperativo informale (tu) per i verbi in -ere come 'chiudere' mantiene la forma del presente: 'chiudi'.,https://www.lawlessitalian.com/grammar/verbs/imperative/
Ho comprato del pane fresco questa mattina.,Ho comprato ___ pane fresco questa mattina.,I bought some fresh bread this morning.,,,del,il,un,della,A,A2,Confronto Articoli,L'articolo partitivo 'del' (di + il) esprime una quantità indeterminata di qualcosa. 'Del pane' = some bread.,https://www.lawlessitalian.com/grammar/articles/partitive/
Gli ho dato il mio numero di telefono.,___ ho dato il mio numero di telefono.,I gave him my phone number.,,,Gli,Lo,La,Li,A,A2,Pronomi Indiretti,'Gli' è il pronome indiretto per la terza persona singolare maschile (a lui). 'Dare qualcosa a qualcuno' richiede il pronome indiretto.,https://www.lawlessitalian.com/grammar/pronouns/indirect-object/
Vuoi delle fragole o della cioccolata?,Vuoi delle fragole o ___ cioccolata?,Do you want some strawberries or some chocolate?,,,della,delle,del,degli,A,A2,Articoli Partitivi,L'articolo partitivo 'della' (di + la) si usa con nomi femminili singolari. 'Cioccolata' è femminile singolare.,https://www.lawlessitalian.com/grammar/articles/partitive/
Non la vedo da molto tempo.,Non ___ vedo da molto tempo.,I haven't seen her for a long time.,,,la,lo,li,le,A,A2,Pronomi Diretti,'La' è il pronome diretto per la terza persona singolare femminile (lei). Sostituisce l'oggetto diretto femminile.,https://www.lawlessitalian.com/grammar/pronouns/direct-object/
Il treno sta per partire dalla stazione.,Il treno ___ partire dalla stazione.,The train is about to leave from the station.,,,sta per,deve,vuole,può,A,A2,Stare per + Infinito,"'Stare per + infinito' esprime un'azione che sta per accadere nel futuro immediato, equivale all'inglese 'to be about to'.",https://www.lawlessitalian.com/grammar/verbs/stare-per/
Maria è tornata a casa molto tardi ieri sera.,Maria è ___ a casa molto tardi ieri sera.,Maria came back home very late last night.,,,tornata,tornato,tornare,torna,A,A2,"Passato Prossimo (essere/avere, accordo)",Il verbo 'tornare' usa l'ausiliare essere. Il participio passato 'tornata' si accorda con il soggetto femminile 'Maria'.,https://www.lawlessitalian.com/grammar/verbs/past-participle/
Vado sempre al lavoro in autobus.,Vado ___ al lavoro in autobus.,I always go to work by bus.,,,sempre,mai,spesso,ancora,A,A2,Avverbi di Frequenza/Tempo/Luogo,Adverbs of frequency like 'sempre' (always) typically come after the verb in Italian.,https://www.lawlessitalian.com/grammar/adverbs/frequency/
I miei amici abitano qui da tre anni.,I miei amici abitano ___ da tre anni.,My friends have lived here for three years.,,,qui,ici,là,dove,A,A2,Avverbi di Frequenza/Tempo/Luogo,Adverbs of place like 'qui' (here) indicate location. 'Qui' and 'qua' both mean 'here' common.,https://www.lawlessitalian.com/grammar/adverbs/place/
Ho finito questo libro tre giorni fa.,Ho finito questo libro tre giorni ___.,I finished this book three days ago.,,,fa,da,fra,dopo,A,A2,"Espressioni di Tempo (fa, da, tra/fra)",The expression 'fa' is used after a time period to mean 'ago' (three days ago = tre giorni fa).,https://www.lawlessitalian.com/grammar/prepositions/temporal/
Ho mal di testa e mi sento stanca.,Ho mal di ___ e mi sento stanca.,I have a headache and feel tired.,feminine speaker,stanco,testa,capo,fronte,collo,A,A2,Salute (vocabolario),The expression 'avere mal di testa' means 'to have a headache'. 'Testa' (head) is the correct body part.,https://www.lawlessitalian.com/vocabulary/health/
"Quando ho la febbre, bevo molta acqua e riposo.","Quando ho la ___, bevo molta acqua e riposo.","When I have a fever, I drink a lot of water and rest.",,,febbre,tosse,influenza,raffreddore,A,A2,Salute (vocabolario),The expression 'avere la febbre' means 'to have a fever'. Fever is the condition that matches drinking water and resting.,https://www.lawlessitalian.com/vocabulary/health/
Mia nonna si è alzata tardi stamattina.,Mia nonna ___ è alzata tardi stamattina.,My grandmother got up late this morning.,,,si,ci,li,ne,A,A2,Verbi Riflessivi (presente e passato prossimo),Reflexive verbs require reflexive pronouns. 'Alzarsi' (to get up) uses 'si' for third person singular and auxiliary 'essere'.,https://www.lawlessitalian.com/grammar/verbs/reflexive/
Mi ricordo quando giocavamo in giardino.,Write: I remember when we used to play in the garden.,Mi ricordo quando giocavamo in giardino.,,Ricordo quando giocavamo in giardino,Mi ricordo quando giocavamo in giardino.,Mi ricordo quando abbiamo giocato in giardino.,Ricordo quando giochiamo in giardino.,Mi ricordo quando giocare in giardino.,A,A2,Ricordi (narrazione semplice),The imperfect tense 'giocavamo' expresses habitual past actions. 'Ricordarsi' can be used reflexively or not.,https://www.lawlessitalian.com/grammar/verbs/imperfect/
Stiamo per iniziare la lezione d'italiano.,Stiamo ___ iniziare la lezione d'italiano.,We are about to start the Italian lesson.,,,per,di,a,da,A,A2,Stare per + Infinito,The preposition 'per' is required in the construction 'stare per + infinitive' to express imminent action.,https://www.lawlessitalian.com/grammar/stare-per/
Da bambina abitavo in una casa con il giardino.,Da bambina ___ in una casa con il giardino.,As a child I lived in a house with a garden.,,,abitavo,ho abitato,abito,abiterei,A,A2,Ricordi (narrazione semplice),The imperfect tense 'abitavo' is used to describe habitual actions or states in the past.,https://www.lawlessitalian.com/grammar/imperfect/
Ieri sera mi sono divertito molto alla festa.,Ieri sera ___ sono divertito molto alla festa.,Yesterday evening I had a lot of fun at the party.,,,mi,ti,si,ci,A,A2,Verbi Riflessivi (presente e passato prossimo),The reflexive verb 'divertirsi' requires the reflexive pronoun 'mi' in the first person singular and uses auxiliary 'essere'.,https://www.lawlessitalian.com/grammar/reflexive-verbs/
Sabato prossimo andremo al mare insieme.,Sabato prossimo ___ al mare insieme.,Next Saturday we will go to the sea together.,,,andremo,andiamo,siamo andati,stavamo andando,A,A2,"Programmi (piani futuri, inviti)",The future tense 'andremo' is used to express definite plans for the future.,https://www.lawlessitalian.com/grammar/future/
Devo comprare un biglietto per il prossimo autobus.,Devo comprare un biglietto ___ il prossimo autobus.,I need to buy a ticket for the next bus.,,,per,di,a,da,A,A2,"Viaggi (trasporti, biglietti) (vocabolario)",The preposition 'per' is used to indicate purpose or destination when buying transportation tickets.,https://www.lawlessitalian.com/grammar/prepositions/
Quanti libri hai letto? Ne ho letti tre.,Quanti libri hai letto? ___ ho letti tre.,How many books have you read? I have read three (of them).,,,Ne,Li,Gli,Ci,A,A2,Particella Ne,The particle 'ne' replaces a quantity or part of something previously mentioned ('of them').,https://www.lawlessitalian.com/grammar/ne/
"Vuoi del formaggio? No, grazie, non ne voglio.","Vuoi del formaggio? No, grazie, non ___ voglio.","Do you want some cheese? No, thanks, I don't want any (of it).",,,ne,lo,la,ci,A,A2,Particella Ne,The particle 'ne' replaces a partitive complement introduced by 'di' (del formaggio = some of it).,https://www.lawlessitalian.com/grammar/ne/
La biblioteca si trova accanto al municipio.,La biblioteca si trova ___ al municipio.,The library is located next to the city hall.,,,accanto,dentro,sopra,sotto,A,A2,Casa e Quartiere (vocabolario),The preposition 'accanto a' means 'next to' and is used to indicate location relative to another building or place.,https://www.lawlessitalian.com/grammar/prepositions/
L'appuntamento è fra due ore.,L'appuntamento è ___ due ore.,The appointment is in two hours.,,tra,fra,da,per,fa,A,A2,"Espressioni di Tempo (fa, da, tra/fra)","The preposition 'fra' (or 'tra') expresses future time, meaning 'in' a certain amount of time from now.",https://www.lawlessitalian.com/grammar/time-expressions/
Maria è andata al supermercato ieri.,Maria è ___ al supermercato ieri.,Maria went to the supermarket yesterday.,motion verb,,andata,andato,andati,andate,A,A2,"Passato Prossimo (essere/avere, accordo)","The verb 'andare' uses 'essere' as auxiliary and the past participle must agree with the subject. 'Maria' is feminine singular, so 'andata'.",https://www.lawlessitalian.com/grammar/verbs/past-tense
I ragazzi hanno mangiato la pizza.,I ragazzi ___ mangiato la pizza.,The boys ate the pizza.,,,hanno,sono,avevano,erano,A,A2,"Passato Prossimo (essere/avere, accordo)",The verb 'mangiare' is transitive and uses 'avere' as auxiliary in passato prossimo. Third person plural is 'hanno'.,https://www.lawlessitalian.com/grammar/verbs/past-tense
Noi siamo partiti stamattina alle otto.,Noi siamo ___ stamattina alle otto.,We left this morning at eight.,,,partiti,partito,partita,partite,A,A2,"Passato Prossimo (essere/avere, accordo)",'Partire' uses 'essere' as auxiliary. The past participle agrees with the subject 'noi' (masculine or mixed group plural = 'partiti').,https://www.lawlessitalian.com/grammar/verbs/past-tense
Le studentesse sono arrivate in ritardo.,Le studentesse sono ___ in ritardo.,The female students arrived late.,,,arrivate,arrivati,arrivata,arrivato,A,A2,"Passato Prossimo (essere/avere, accordo)","'Arrivare' uses 'essere' as auxiliary. 'Le studentesse' is feminine plural, so the past participle must be 'arrivate'.",https://www.lawlessitalian.com/grammar/verbs/past-tense
Il treno sta per partire dal binario tre.,Il treno ___ partire dal binario tre.,The train is about to leave from platform three.,,,sta per,va per,deve per,vuole per,A,A2,Stare per + Infinito,'Stare per + infinitive' expresses an action that is about to happen in the immediate future.,https://www.lawlessitalian.com/grammar/verbs/near-future
Ho mal di testa da stamattina.,Ho ___ da stamattina.,I've had a headache since this morning.,,,mal di testa,dolore di testa,testa male,male testa,A,A2,Salute (vocabolario),'Avere mal di + body part' is the standard expression for aches and pains. 'Mal di testa' means headache.,https://www.lawlessitalian.com/vocabulary/health-body
Devo andare dal dottore per la febbre.,Devo andare dal ___ per la febbre.,I have to go to the doctor for the fever.,,,dottore,medico,farmacista,dentista,A,A2,Salute (vocabolario),'Dottore' is the most common way to refer to a medical doctor in everyday Italian conversation.,https://www.lawlessitalian.com/vocabulary/health-body
Luca è un ragazzo molto simpatico e divertente.,Luca è un ragazzo molto simpatico e ___.,Luca is a very nice and funny boy.,,,divertente,divertenti,divertendo,divertito,A,A2,Descrizioni Fisiche e del Carattere (vocabolario),'Divertente' is an invariable adjective that doesn't change form regardless of gender or number of the noun it modifies.,https://www.lawlessitalian.com/grammar/adjectives/agreement
A scuola studiamo italiano e matematica.,A ___ studiamo italiano e matematica.,At school we study Italian and math.,,,scuola,università,casa,biblioteca,A,A2,Scuola e Università (vocabolario),'A scuola' means 'at school.' The preposition 'a' is used with places of learning and work.,https://www.lawlessitalian.com/vocabulary/school-education
Oggi piove e fa molto freddo.,Oggi ___ e fa molto freddo.,Today it's raining and it's very cold.,,,piove,piovendo,pioveva,pioverà,A,A2,Tempo/Meteo (vocabolario),'Piovere' in the present tense third person singular is 'piove.' Weather verbs are impersonal and only conjugated in third person.,https://www.lawlessitalian.com/vocabulary/weather
"Chiudi la porta, per favore.","Write: Close the door, please.","Close the door, please.",informal command,"Chiudi la porta, per favore; Chiudi la porta, per piacere","Chiudi la porta, per favore.","Chiude la porta, per favore.","Chiudere la porta, per favore.","Chiusa la porta, per favore.",A,A2,Imperativo (tu/noi/voi),"The informal imperative (tu form) of 'chiudere' is 'chiudi.' For regular -ere verbs, drop the -ere and add -i.",https://www.lawlessitalian.com/grammar/verbs/imperative
Lavoro in ufficio dalle nove alle cinque.,Lavoro in ___ dalle nove alle cinque.,I work in an office from nine to five.,,,ufficio,l'ufficio,un ufficio,dell'ufficio,A,A2,Lavoro/Ufficio (vocabolario),"Dopo la preposizione 'in', quando si indica il luogo di lavoro in generale, si omette l'articolo: 'in ufficio', 'in fabbrica', 'in negozio'.",https://www.lawlessitalian.com/vocabulary/professions/
La mia collega è molto brava nel suo lavoro.,La mia ___ è molto brava nel suo lavoro.,My colleague is very good at her job.,,,collega,manager,segretaria,capo,A,A2,Lavoro/Ufficio (vocabolario),'Collega' può essere sia maschile che femminile. Con l'articolo 'la' si riferisce a una collega donna.,https://www.lawlessitalian.com/vocabulary/professions/
Oggi il cielo è nuvoloso e tira vento.,Oggi il cielo è nuvoloso e ___ vento.,Today the sky is cloudy and it's windy.,,,tira,fa,c'è,viene,A,A2,Tempo/Meteo (vocabolario),Per il vento si usa l'espressione 'tirare vento' (it's windy). È diverso da 'fare' che si usa per temperatura.,https://www.lawlessitalian.com/vocabulary/weather/
A mia sorella è piaciuto molto il film ieri sera.,A mia sorella è ___ molto il film ieri sera.,My sister really liked the movie last night.,,,piaciuto,piaciuta,piaciuti,piaciute,A,A2,"Piacere (con pronomi, passato)","Il participio passato di 'piacere' si accorda con la cosa che piace, non con la persona. 'Il film' è maschile singolare, quindi 'piaciuto'.",https://www.lawlessitalian.com/grammar/verbs/piacere/
Vado spesso al mercato il sabato mattina.,Vado ___ al mercato il sabato mattina.,I often go to the market on Saturday mornings.,,,spesso,sempre,qualche volta,mai,A,A2,Avverbi di Frequenza/Tempo/Luogo,'Spesso' è un avverbio di frequenza che significa 'often'. Si posiziona generalmente dopo il verbo principale.,https://www.lawlessitalian.com/grammar/adverbs/
"Scusi, vorremmo prenotare un tavolo per due persone.","Scusi, vorremmo ___ un tavolo per due persone.","Excuse me, we would like to book a table for two people.",,,prenotare,prenotiamo,prenotato,prenotazione,A,A2,Ristorante (menu/prenotare/conti) (vocabolario),Dopo il verbo modale 'volere' (vorremmo) si usa l'infinito del verbo principale. 'Prenotare' = to book/reserve.,https://www.lawlessitalian.com/vocabulary/restaurant/
Non posso uscire stasera perché devo studiare.,Non ___ uscire stasera perché devo studiare.,I can't go out tonight because I have to study.,,,posso,voglio,devo,so,A,A2,Verbi Modali (+ infinito),'Potere' (posso) esprime capacità o possibilità. I verbi modali sono seguiti dall'infinito: 'posso uscire' = I can go out.,https://www.lawlessitalian.com/grammar/verbs/modal/
Quanti biscotti vuoi? Ne voglio tre.,Quanti biscotti vuoi? ___ voglio tre.,How many cookies do you want? I want three of them.,,,Ne,Li,Ci,Vi,A,A2,Particella Ne,"The particle 'ne' replaces a quantity or part of something previously mentioned, meaning 'of it/them'.",https://www.lawlessitalian.com/grammar/pronouns/ne/
"Hai delle mele? Sì, ne ho molte.","Hai delle mele? Sì, ___ ho molte.","Do you have any apples? Yes, I have many of them.",,,ne,le,ci,li,A,A2,Particella Ne,The particle 'ne' is used to replace a partitive expression (delle mele) when indicating quantity.,https://www.lawlessitalian.com/grammar/pronouns/ne/
Da bambino giocavo sempre al parco.,Da bambino ___ sempre al parco.,As a child I used to always play at the park.,,,giocavo,ho giocato,gioco,giocare,A,A2,Imperfetto,The imperfect tense (imperfetto) is used to describe habitual or repeated actions in the past.,https://www.lawlessitalian.com/grammar/verbs/imperfect/
Mi ricordo dell'estate quando andavamo al mare ogni giorno.,Mi ricordo dell'estate quando ___ al mare ogni giorno.,I remember the summer when we used to go to the sea every day.,,,andavamo,siamo andati,andiamo,andare,A,A2,Ricordi (narrazione semplice),"When narrating memories of repeated past actions, the imperfect tense is used to express 'used to' or habitual actions.",https://www.lawlessitalian.com/grammar/verbs/imperfect/
Ricordo bene la mia prima bicicletta rossa.,___ bene la mia prima bicicletta rossa.,I remember my first red bicycle well.,,,Ricordo,Ricordavo,Ho ricordato,Ricorderò,A,A2,Ricordi (narrazione semplice),"When stating a current memory or recollection, the present tense of 'ricordare' is used.",https://www.lawlessitalian.com/vocabulary/memory/
Il dottore mi ha dato delle medicine per la tosse.,Il dottore mi ha dato delle medicine per la ___.,The doctor gave me some medicine for the cough.,,,tosse,febbre,gola,naso,A,A2,Salute (vocabolario),Common health vocabulary: 'la tosse' means 'the cough'. Medicine is typically given for specific symptoms.,https://www.lawlessitalian.com/vocabulary/health/
Gli ho telefonato ieri sera.,___ ho telefonato ieri sera.,I called him last night.,,,Gli,Lo,Ci,Ne,A,A2,Pronomi Indiretti,The indirect object pronoun 'gli' (to him) is used with 'telefonare a' since you call 'to' someone.,https://www.lawlessitalian.com/grammar/pronouns/indirect-object/
Devo partire fra due ore.,Devo partire ___ due ore.,I have to leave in two hours.,,tra,fra,da,fa,per,A,A2,Verbi Modali (+ infinito),Modal verb 'dovere' (must/have to) is followed by an infinitive. 'Fra/tra' expresses future time (in/within).,https://www.lawlessitalian.com/grammar/verbs/modal/
