complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Il prossimo anno viaggerò in Asia per tre mesi.,Il prossimo anno ___ in Asia per tre mesi.,Next year I'll travel to Asia for three months.,,,viaggio,ho viaggiato,viaggerò,viaggiavo,C,B1,Futuro semplice,Future time expressions like 'il prossimo anno' require the futuro semplice tense.,https://www.lawlessitalian.com/grammar/futuro-semplice/
Questa casa è stata costruita nel 1920.,Questa casa ___ costruita nel 1920.,This house was built in 1920.,,,ha,è stata,era,sarà,B,B1,Passivo (con essere),"The passive voice is formed with essere + past participle. For completed past actions, use passato prossimo: è stata.",https://www.lawlessitalian.com/grammar/passive-voice/
Mia sorella e il suo fidanzato si sono lasciati la settimana scorsa.,Mia sorella e il suo fidanzato ___ lasciati la settimana scorsa.,My sister and her boyfriend broke up last week.,,,hanno,si sono,erano,si erano,B,B1,Relazioni,Reflexive verbs like 'lasciarsi' use essere as auxiliary in compound tenses: si sono lasciati.,https://www.lawlessitalian.com/grammar/reflexive-verbs/
Ho comprato un regalo per Maria e glielo darò domani.,Ho comprato un regalo per Maria e ___ darò domani.,I bought a gift for Maria and I'll give it to her tomorrow.,,,glielo,la gli,le lo,gliel,A,B1,"Pronomi combinati (glielo, me ne)",Combined pronouns merge indirect (gli/le → gli) and direct (lo) object pronouns: glielo.,https://www.lawlessitalian.com/grammar/combined-pronouns/
Quante pizze vuoi? Me ne servono due.,Quante pizze vuoi? ___ servono due.,How many pizzas do you want? I need two (of them).,,,Mi ne,Me ne,Me li,Mi li,B,B1,"Pronomi combinati (glielo, me ne)",The pronoun 'ne' (of it/them) combines with indirect object pronouns: mi + ne = me ne.,https://www.lawlessitalian.com/grammar/combined-pronouns/
Il servizio in questo ristorante è sempre eccellente e i camerieri sono molto cortesi.,Il servizio in questo ristorante è sempre eccellente e i camerieri ___ molto cortesi.,The service in this restaurant is always excellent and the waiters are very courteous.,,,è,sono,erano,saranno,B,B1,Ristorante (recensioni/preferenze),The plural subject 'i camerieri' requires the plural form 'sono' of the verb essere.,https://www.lawlessitalian.com/grammar/essere/
"Quando ero piccolo, giocavo sempre nel parco, ma ieri ho incontrato un vecchio amico.","Quando ero piccolo, ___ sempre nel parco, ma ieri ho incontrato un vecchio amico.","When I was little, I always played in the park, but yesterday I met an old friend.",,,giocavo,ho giocato,gioco,giocherò,A,B1,Imperfetto vs Passato prossimo,"Habitual actions in the past use imperfetto (giocavo), while specific completed events use passato prossimo (ho incontrato).",https://www.lawlessitalian.com/grammar/imperfect-vs-present-perfect/
Questo libro è il più interessante di tutti quelli che ho letto quest'anno.,Questo libro è ___ interessante di tutti quelli che ho letto quest'anno.,This book is the most interesting of all those I've read this year.,,,il più,più,il migliore,molto,A,B1,Comparativi e superlativi (irregolarità),Il superlativo relativo requires the definite article 'il' before 'più' when comparing within a group (il più + adjective + di).,https://www.lawlessitalian.com/grammar/comparatives-superlatives/
Marco cerca un lavoro che gli permetta di viaggiare spesso.,Marco cerca un lavoro ___ gli permetta di viaggiare spesso.,Marco is looking for a job that allows him to travel often.,,,quale,che,cui,dove,B,B1,Pronomi relativi (che/cui),'Che' is used as a relative pronoun when it functions as the subject or direct object of the relative clause.,https://www.lawlessitalian.com/grammar/relative-pronouns/
L'azienda per cui lavora mia sorella è molto famosa.,L'azienda per ___ lavora mia sorella è molto famosa.,The company my sister works for is very famous.,,,che,quale,cui,chi,C,B1,Lavoro (vocabolario e frasi),"After prepositions, use 'cui' as the relative pronoun. 'Per cui' means 'for whom/which'.",https://www.lawlessitalian.com/grammar/relative-pronouns/
Qualcuno ha dimenticato l'ombrello nell'ufficio.,___ ha dimenticato l'ombrello nell'ufficio.,Someone forgot their umbrella in the office.,,,Nessuno,Qualcuno,Ognuno,Alcuni,B,B1,Pronomi indefiniti,'Qualcuno' means 'someone' and is used for an unspecified person in affirmative contexts.,https://www.lawlessitalian.com/grammar/indefinite-pronouns/
"Quando sono arrivato alla stazione, il treno era già partito.","Quando sono arrivato alla stazione, il treno ___ già partito.","When I arrived at the station, the train had already left.",,,ha,aveva,era,è,C,B1,Trapassato prossimo,"The trapassato prossimo uses the imperfect of the auxiliary verb. With motion verbs like 'partire', use 'era' (imperfect of essere).",https://www.lawlessitalian.com/grammar/past-perfect/
Ieri pomeriggio ho incontrato Giulia mentre faceva la spesa.,Ieri pomeriggio ho incontrato Giulia mentre ___ la spesa.,Yesterday afternoon I met Giulia while she was doing the shopping.,,,ha fatto,faceva,farà,aveva fatto,B,B1,Imperfetto vs Passato prossimo,"The imperfetto expresses ongoing actions in the past, especially when interrupted by another action (expressed with passato prossimo).",https://www.lawlessitalian.com/grammar/imperfect-vs-perfect/
"Studiando ogni giorno, i ragazzi hanno migliorato i loro voti.","___ ogni giorno, i ragazzi hanno migliorato i loro voti.","By studying every day, the boys improved their grades.",,,Studiare,Studiando,Studiano,Hanno studiato,B,B1,Gerundio (usi),The gerundio expresses the means or manner by which something is accomplished (equivalent to 'by + -ing' in English).,https://www.lawlessitalian.com/grammar/gerund/
Non dirgli niente prima del compleanno!,Non ___ niente prima del compleanno!,Don't tell him anything before the birthday!,,,gli dici,dici a lui,dirgli,gli dire,C,B1,"Imperativo (pronomi atoni, negazione)","In negative imperatives with infinitive form, pronouns attach to the end of the infinitive (dire + gli = dirgli).",https://www.lawlessitalian.com/grammar/imperative/
Uso sempre il telefono per controllare le email durante la pausa pranzo.,Uso sempre il telefono per ___ le email durante la pausa pranzo.,I always use my phone to check emails during lunch break.,,,controllare,controllo,controllato,controllando,A,B1,Tecnologia (uso quotidiano),"After preposition 'per', use the infinitive form of the verb to express purpose.",https://www.lawlessitalian.com/grammar/infinitive/
"Studiando molto, sono riuscito a superare l'esame difficile.","___ molto, sono riuscito a superare l'esame difficile.","By studying a lot, I managed to pass the difficult exam.",,,Studio,Ho studiato,Studiando,Studiare,C,B1,Gerundio (usi),The gerundio expresses means or manner. 'Studiando' means 'by studying' and shows how the result was achieved.,https://www.lawlessitalian.com/grammar/gerund/
Sto imparando l'italiano leggendo libri e guardando film.,Sto imparando l'italiano ___ libri e guardando film.,I'm learning Italian by reading books and watching movies.,,,leggo,leggendo,ho letto,leggere,B,B1,Gerundio (usi),The gerundio is used to express simultaneous actions or means. 'Leggendo' shows the method of learning Italian.,https://www.lawlessitalian.com/grammar/gerund/
Ricordo che da bambino andavo sempre in bicicletta nel parco con mio nonno.,Ricordo che da bambino ___ sempre in bicicletta nel parco con mio nonno.,I remember that as a child I would always go by bicycle to the park with my grandfather.,,,sono andato,vado,andrò,andavo,D,B1,Ricordi (narrazione estesa),The imperfetto is used for habitual actions in the past. 'Andavo sempre' expresses a repeated childhood activity.,https://www.lawlessitalian.com/grammar/imperfetto/
"Se avrò tempo domani, verrò alla festa con voi.","Se ___ tempo domani, verrò alla festa con voi.","If I have time tomorrow, I will come to the party with you.",,,ho,avrò,avevo,avrei,B,B1,Periodo ipotetico (I tipo),The first type conditional (periodo ipotetico I tipo) uses futuro semplice in both clauses when referring to future possibilities.,https://www.lawlessitalian.com/grammar/conditional-sentences/
Di quella situazione difficile non ne voglio più parlare.,Di quella situazione difficile non ___ voglio più parlare.,I don't want to talk about that difficult situation anymore.,,,ci,ne,la,le,B,B1,Ci e ne (avanzato),The pronoun 'ne' replaces phrases introduced by 'di' (about/of). 'Ne voglio parlare' means 'I want to talk about it'.,https://www.lawlessitalian.com/grammar/ne-pronoun/
Il mio appartamento ha un balcone molto grande con una vista sul mare.,Il mio appartamento ha un balcone molto ___ con una vista sul mare.,My apartment has a very large balcony with a view of the sea.,,,grande,grandi,granda,grando,A,B1,Descrizioni (dettaglio),"Aggettivi qualificativi devono concordare in genere e numero con il sostantivo. 'Balcone' è maschile singolare, quindi l'aggettivo corretto è 'grande'.",https://www.lawlessitalian.com/grammar/adjectives/
Marco ha detto che non poteva venire alla festa.,Marco ha detto che non ___ venire alla festa.,Marco said that he could not come to the party.,,,potere,poteva,potrà,può,B,B1,Discorso indiretto,"Nel discorso indiretto, i tempi verbali si adeguano: dal presente 'può' si passa all'imperfetto 'poteva'.",https://www.lawlessitalian.com/grammar/indirect-speech/
In Italia si mangia la pasta quasi ogni giorno.,In Italia ___ mangia la pasta quasi ogni giorno.,In Italy people eat pasta almost every day.,,,ci,si,ne,lo,B,B1,Si impersonale/si passivante,La costruzione impersonale/passivante richiede 'si' + verbo alla terza persona singolare con soggetto singolare non espresso.,https://www.lawlessitalian.com/grammar/si-impersonale/
In quel ristorante si servono piatti tipici della regione.,In quel ristorante ___ servono piatti tipici della regione.,In that restaurant typical dishes of the region are served.,,,lo,si,ci,ne,B,B1,Si impersonale/si passivante,"Con soggetto plurale ('piatti'), il verbo concorda al plurale con la costruzione 'si passivante': 'si servono'.",https://www.lawlessitalian.com/grammar/si-impersonale/
"Quando ero bambino, andavo al parco ogni pomeriggio.","Quando ___ bambino, andavo al parco ogni pomeriggio.","When I was a child, I used to go to the park every afternoon.",,,sono stato,sarò,ero,fui,C,B1,Imperfetto vs Passato prossimo,Si usa l'imperfetto ('ero') per descrivere situazioni abituali o continuative nel passato.,https://www.lawlessitalian.com/grammar/imperfect/
Sto leggendo un libro molto interessante.,___ leggendo un libro molto interessante.,I am reading a very interesting book.,,,Stavo,Sono,Sto,Sarei,C,B1,Stare + gerundio (progressivo),Per esprimere un'azione in corso si usa 'stare' al presente + gerundio: 'sto leggendo'.,https://www.lawlessitalian.com/grammar/gerund/
Per proteggere l'ambiente dobbiamo riciclare la plastica e il vetro.,Per proteggere l'ambiente dobbiamo ___ la plastica e il vetro.,To protect the environment we must recycle plastic and glass.,,,riciclare,bere,pulire,tagliare,A,B1,Ambiente (vocabolario e pratiche),Il verbo 'riciclare' è la pratica corretta per ridurre l'impatto ambientale con rifiuti come plastica e vetro.,https://www.lawlessitalian.com/learn/green-italian/
Non ne posso più di questa situazione.,Non ___ posso più di questa situazione.,I can’t take this situation anymore.,'ne' = di questa situazione,,ci,lo,ne,gli,C,B1,Ci e ne (avanzato),'Ne' sostituisce un complemento introdotto da 'di': 'non ne posso più' significa 'non posso sopportare più questa situazione'.,https://www.lawlessitalian.com/grammar/ci-ne/
La città in cui vivo è molto più tranquilla di Milano.,La città in cui vivo è molto più ___ di Milano.,The city where I live is much quieter than Milan.,,,tranquilla,tranquillo,tranquille,tranquilli,A,B1,Descrizioni (dettaglio),"Aggettivi devono concordare in genere e numero con il sostantivo. 'Città' è femminile singolare, quindi l’aggettivo corretto è 'tranquilla'.",https://www.lawlessitalian.com/grammar/adjective-agreement/
Luca ha detto che sarebbe arrivato più tardi.,Luca ha detto che ___ arrivato più tardi.,Luca said that he would arrive later.,,,sarà,sarebbe,è,fosse,B,B1,Discorso indiretto,"Nel discorso indiretto al passato, il futuro si trasforma in condizionale composto o semplice: 'sarà' → 'sarebbe'.",https://www.lawlessitalian.com/grammar/indirect-speech/
In Italia si beve molto caffè durante la giornata.,In Italia ___ molto caffè durante la giornata.,"In Italy, people drink a lot of coffee during the day.",,,si beve,si bevono,beve,beviamo,A,B1,Si impersonale/si passivante,"Con 'si impersonale' il verbo concorda alla 3ª persona singolare quando l’oggetto è singolare: 'caffè' è invariabile, quindi si usa 'si beve'.",https://www.lawlessitalian.com/grammar/si-impersonale/
In molti ristoranti italiani si mangia bene spendendo poco.,In molti ristoranti italiani ___ bene spendendo poco.,"In many Italian restaurants, one eats well while spending little.",,,si mangia,mangiamo,mangiano,si mangiano,A,B1,Si impersonale/si passivante,"Il costrutto impersonale richiede 'si mangia' con verbo singolare, poiché è generico e non concorda con 'ristoranti'.",https://www.lawlessitalian.com/grammar/si-impersonale/
"Mentre studiavo, il mio amico mi ha telefonato.","Mentre ___, il mio amico mi ha telefonato.","While I was studying, my friend called me.",,,studio,studiavo,ho studiato,studierò,B,B1,Imperfetto vs Passato prossimo,"L’imperfetto descrive un’azione in corso nel passato, interrotta da un evento puntuale espresso con il passato prossimo.",https://www.lawlessitalian.com/grammar/imperfetto-vs-passato-prossimo/
"Per ridurre i rifiuti, bisogna riciclare la plastica e il vetro.","Per ridurre i rifiuti, bisogna ___ la plastica e il vetro.","To reduce waste, it is necessary to recycle plastic and glass.",,,riciclare,buttare,comprare,usare,A,B1,Ambiente (vocabolario e pratiche),La pratica corretta per l’ambiente è 'riciclare'. Le altre opzioni non riducono i rifiuti.,https://www.lawlessitalian.com/vocabulary/environment/
"Hai ancora dei compiti da finire? No, non ne ho più.","Hai ancora dei compiti da finire? No, non ___ ho più.","Do you still have homework to finish? No, I don’t have any more.",,,ci,ne,li,le,B,B1,Ci e ne (avanzato),'Ne' sostituisce un complemento introdotto da 'di' o una quantità: 'dei compiti' → 'non ne ho più'.,https://www.lawlessitalian.com/grammar/ne-ci/
"Per ridurre i rifiuti, è importante riutilizzare le borse di stoffa.","Per ridurre i rifiuti, è importante ___ le borse di stoffa.","To reduce waste, it is important to reuse cloth bags.",,,buttare,riutilizzare,sprecare,rompere,B,B1,Ambiente (vocabolario e pratiche),"Per la sostenibilità ambientale, l’azione corretta è 'riutilizzare'. Le altre opzioni non riducono i rifiuti.",https://www.lawlessitalian.com/learn/green-italian/
Molte famiglie riciclano la carta e il vetro ogni settimana.,Molte famiglie ___ la carta e il vetro ogni settimana.,Many families recycle paper and glass every week.,,,riciclano,bevono,tagliano,scrivono,A,B1,Ambiente (vocabolario e pratiche),Il verbo 'riciclare' è usato correttamente per parlare di pratiche ambientali comuni.,https://www.lawlessitalian.com/learn/green-italian/
Ci vogliono dieci minuti per arrivare alla stazione.,___ vogliono dieci minuti per arrivare alla stazione.,It takes ten minutes to get to the station.,,,Ci,Ne,Lo,Gli,A,B1,Ci e ne (avanzato),'Ci' si usa nelle espressioni di tempo impiegato: 'ci vuole/ci vogliono'.,https://www.lawlessitalian.com/grammar/ci-ne/
Mio fratello sta cercando un nuovo lavoro in banca.,Mio fratello sta cercando un nuovo ___ in banca.,My brother is looking for a new job in a bank.,,,gioco,lavoro,giorno,posto,B,B1,Lavoro (vocabolario e frasi),Il termine corretto per indicare un impiego è 'lavoro'.,https://www.lawlessitalian.com/vocabulary/work/
Qualcuno ha lasciato la finestra aperta.,___ ha lasciato la finestra aperta.,Someone left the window open.,,,Nessuno,Qualcuno,Ogni,Tutti,B,B1,Pronomi indefiniti,"'Qualcuno' significa 'someone', mentre 'nessuno' è negativo e le altre opzioni non sono corrette nel contesto.",https://www.lawlessitalian.com/grammar/indefinite-pronouns/
Non c'era nessuno alla fermata dell'autobus.,Non c'era ___ alla fermata dell'autobus.,There was nobody at the bus stop.,,,qualcuno,ognuno,nessuno,tutti,C,B1,Pronomi indefiniti,'Nessuno' significa 'nobody'. È l’unica opzione corretta per rendere la frase negativa.,https://www.lawlessitalian.com/grammar/indefinite-pronouns/
"Tra tutti i miei amici, Lucia è la migliore a cantare.","Tra tutti i miei amici, Lucia è la ___ a cantare.","Among all my friends, Lucia is the best at singing.",,,bene,migliore,più buona,ottima,B,B1,Comparativi e superlativi (irregolarità),Il superlativo corretto di 'bene' è 'migliore' e non 'più buona'.,https://www.lawlessitalian.com/grammar/comparatives-superlatives/
La città in cui vivo è famosa per la sua architettura medievale.,La città in ___ vivo è famosa per la sua architettura medievale.,The city in which I live is famous for its medieval architecture.,,cui; dove,cui,che,quale,il quale,A,B1,Descrizioni (dettaglio),"The relative pronoun 'cui' is used after a preposition (in this case, 'in') to mean 'which', 'whom', or 'that'. 'In cui' correctly translates to 'in which'. 'Dove' can sometimes be used as a less formal alternative for places.",https://www.lawlessitalian.com/grammar/relative-pronouns/
In quel ristorante si mangiano degli ottimi piatti di pesce.,In quel ristorante si ___ degli ottimi piatti di pesce.,"In that restaurant, they serve excellent fish dishes. / Excellent fish dishes are eaten in that restaurant.",,,mangiano,mangia,mangi,mangiate,A,B1,Si impersonale/si passivante,"This is the 'si passivante' (passive si). When the verb has a direct object, the verb must agree in number with that object. Since 'piatti di pesce' is plural, the verb must be in the third-person plural form, 'mangiano'.",https://www.lawlessitalian.com/grammar/si-impersonal-passive/
Si dice che domani pioverà.,Si ___ che domani pioverà.,They say it will rain tomorrow. / It is said that it will rain tomorrow.,,,dice,dicono,diciamo,dite,A,B1,Si impersonale/si passivante,"This is the impersonal 'si'. When the verb is followed by a clause (like 'che domani pioverà') or an adjective, the verb is always in the third-person singular form, regardless of the implied subject.",https://www.lawlessitalian.com/grammar/si-impersonal-passive/
"Mentre tornavo a casa, ho incontrato un vecchio amico.","Mentre ___ a casa, ho incontrato un vecchio amico.","While I was returning home, I met an old friend.",,,tornavo,sono tornato,tornai,tornassi,A,B1,Imperfetto vs Passato prossimo,"The imperfect tense ('imperfetto') is used for an ongoing background action in the past ('tornavo'). The 'passato prossimo' is used for a specific, completed action that interrupts the ongoing one ('ho incontrato').",https://www.lawlessitalian.com/grammar/past-tenses/passato-prossimo-vs-imperfetto/
"Non posso rispondere al telefono, sto guidando.","Non posso rispondere al telefono, ___ guidando.","I can't answer the phone, I'm driving.",,,sto,sono,vado,faccio,A,B1,Stare + gerundio (progressivo),"The present progressive tense, which describes an action happening at the moment of speaking, is formed with the present tense of 'stare' followed by the gerund of the main verb ('-ando' or '-endo').",https://www.lawlessitalian.com/grammar/present-progressive/
"Per ridurre i rifiuti, è importante fare la raccolta differenziata.","Per ridurre i rifiuti, è importante fare la ___ differenziata.","To reduce waste, it's important to do separate waste collection (recycling).",,,raccolta,collezione,divisione,scelta,A,B1,Ambiente (vocabolario e pratiche),'La raccolta differenziata' is the specific Italian term for the practice of separating waste for recycling. The other words do not form this common colocation.,
"Hai comprato le mele? Sì, ne ho comprate un chilo.","Hai comprato le mele? Sì, ___ ho comprate un chilo.","Did you buy the apples? Yes, I bought a kilo of them.",,,ne,le,ci,lo,A,B1,Ci e ne (avanzato),"The partitive pronoun 'ne' means 'of it' or 'of them' and is used to replace a noun that is preceded by an expression of quantity ('un chilo'). When used with 'passato prossimo', the past participle agrees with the noun 'ne' replaces ('le mele' -> feminine plural -> 'comprate').",https://www.lawlessitalian.com/grammar/adverbial-pronouns/ne/
La ragazza con i capelli lunghi e biondi è mia cugina.,La ragazza con i capelli lunghi e ___ è mia cugina.,"The girl with the long, blond hair is my cousin.",,,biondo,bionda,biondi,bionde,C,B1,Descrizioni (dettaglio),"L'aggettivo deve concordare in genere e numero con il sostantivo a cui si riferisce. 'Capelli' è un sostantivo maschile plurale, quindi l'aggettivo corretto è 'biondi'.",https://www.lawlessitalian.com/grammar/adjectives/adjective-agreement/
Marco ha detto che era troppo stanco per uscire.,Marco ha detto che ___ troppo stanco per uscire.,Marco said that he was too tired to go out.,,,è,era,sarà,fosse,B,B1,Discorso indiretto,"Nel discorso indiretto, quando il verbo della frase principale è al passato (ha detto), il presente indicativo del discorso diretto ('sono stanco') diventa imperfetto ('era stanco').",https://www.lawlessitalian.com/grammar/verbs/reported-speech/
In questo ristorante si mangia veramente bene.,In questo ristorante ___ mangia veramente bene.,"In this restaurant, one eats really well.",,,ci,lo,si,ne,C,B1,Si impersonale/si passivante,Il 'si impersonale' si usa per fare affermazioni generali. È formato da 'si' seguito dalla terza persona singolare del verbo.,https://www.lawlessitalian.com/grammar/pronouns/impersonal-pronoun/
In questa agenzia si vendono biglietti per tutto il mondo.,In questa agenzia ___ vendono biglietti per tutto il mondo.,"In this agency, tickets are sold for all over the world.",,,si,li,ci,ne,A,B1,Si impersonale/si passivante,"Qui si usa il 'si passivante'. Il verbo ('vendono') concorda con il soggetto logico ('biglietti', plurale) e assume la forma della terza persona plurale.",https://www.lawlessitalian.com/grammar/pronouns/passive-si/
"Scusami, non posso parlare ora perché sto lavorando.","Scusami, non posso parlare ora perché ___ lavorando.","Sorry, I can't talk now because I'm working.",,,sono,stavo,ero,sto,D,B1,Stare + gerundio (progressivo),La costruzione 'stare + gerundio' (presente progressivo) si usa per descrivere un'azione che si sta svolgendo nel momento esatto in cui si parla.,https://www.lawlessitalian.com/grammar/tenses/present-progressive/
"Per aiutare l'ambiente, facciamo sempre la raccolta differenziata.","Per aiutare l'ambiente, facciamo sempre la raccolta ___.","To help the environment, we always do separate waste collection.",,,diversa,separata,differenziata,mista,C,B1,Ambiente (vocabolario e pratiche),'Raccolta differenziata' è l'espressione fissa in italiano per indicare la separazione dei rifiuti per il riciclaggio.,
