"complete_sentence","question_text","english_translation","hint","alternate_correct_responses","option_a","option_b","option_c","option_d","correct_option","cefr_level","topic","explanation","resource"
"Alcuni studenti sono arrivati in ritardo.","___ studenti sono arrivati in ritardo.","Some students arrived late.","","","Alcuni","Qualche","Ogni","Tutto","A","A2","Aggettivi e Pronomi Indefiniti","Use 'alcuni' (some) with plural nouns. 'Qualche' requires singular nouns despite plural meaning.","https://www.lawlessitalian.com/grammar/indefinite-adjectives-pronouns/"
"Vorrei una camera singola per due notti, per favore.","___ una camera singola per due notti, per favore.","I would like a single room for two nights, please.","","","Vorrei","Voglio","Volevo","Vorrò","A","A2","Condizionale Presente","The conditional 'vorrei' is used for polite requests, making it more courteous than the present indicative 'voglio'.","https://www.lawlessitalian.com/grammar/conditional/"
"Potresti prestarmi la tua penna?","___ prestarmi la tua penna?","Could you lend me your pen?","","","Puoi","Potresti","Potevi","Potrai","B","A2","Condizionale Presente","The conditional 'potresti' expresses a polite request, softer than the direct 'puoi'.","https://www.lawlessitalian.com/grammar/conditional/"
"Te lo porto domani mattina.","___ porto domani mattina.","I'll bring it to you tomorrow morning.","","","Ti lo","Te lo","Tu lo","Tuo lo","B","A2","Pronomi Combinati","The indirect pronoun 'ti' becomes 'te' when combined with the direct pronoun 'lo'.","https://www.lawlessitalian.com/grammar/double-pronouns/"
"Glieli ho già spiegati ieri.","___ ho già spiegati ieri.","I already explained them to him/her yesterday.","","","Gli li","Le li","Glieli","Gligli","C","A2","Pronomi Combinati","The combined pronoun 'glieli' replaces 'gli' (to him/her) + 'li' (them masculine).","https://www.lawlessitalian.com/grammar/double-pronouns/"
"Ce ne hanno dati solo tre.","___ hanno dati solo tre.","They only gave us three of them.","","","Ci ne","Ce ne","Ci li","Ce li","B","A2","Pronomi Combinati","The indirect pronoun 'ci' becomes 'ce' when combined with the partitive pronoun 'ne'.","https://www.lawlessitalian.com/grammar/double-pronouns/"
"Signora Bianchi, venga qui subito!","Signora Bianchi, ___ qui subito!","Mrs. Bianchi, come here immediately!","formal","","vieni","venire","venga","venite","C","A2","Imperativo Formale","The formal imperative uses the third person singular subjunctive form 'venga' for the Lei form.","https://www.lawlessitalian.com/grammar/imperative/"
"Mentre studiavo, mia sorella è tornata a casa.","Mentre ___, mia sorella è tornata a casa.","While I was studying, my sister came home.","","","ho studiato","studiavo","studio","studierò","B","A2","Imperfetto vs. Passato Prossimo","The imperfect 'studiavo' describes an ongoing action that provides background to the completed action 'è tornata'.","https://www.lawlessitalian.com/grammar/imperfetto-vs-passato-prossimo/"
"Per imparare l'italiano bene, ci vogliono almeno due anni.","Per imparare l'italiano bene, ___ almeno due anni.","To learn Italian well, it takes at least two years.","","","ci metto","ci mettono","ci vuole","ci vogliono","D","A2","Volerci vs. Metterci","Volerci is impersonal and agrees with what is needed - 'ci vogliono' because 'anni' is plural.","https://www.lawlessitalian.com/grammar/volerci-vs-metterci/"
"Ci metto sempre mezz'ora per arrivare al lavoro.","___ sempre mezz'ora per arrivare al lavoro.","It always takes me half an hour to get to work.","","","Ci vuole","Ci vogliono","Ci metto","Mi ci vuole","C","A2","Volerci vs. Metterci","Metterci is personal and indicates the time a specific person takes to do something.","https://www.lawlessitalian.com/grammar/volerci-vs-metterci/"
"Write: I'll give you a call this evening.","Write: I'll give you a call this evening.","Ti telefono stasera.","","Ti chiamo stasera; Ti faccio una telefonata stasera","Ti telefono stasera.","Ti telefonerò stasera.","Ti chiamo stasera.","Ti faccio una telefonata stasera.","A","A2","Preposizioni Semplici","Italian often uses present tense for near future actions, and prepositions are not needed with evening time expressions.","https://www.lawlessitalian.com/grammar/prepositions/"
"Ci sono molti turisti, quindi ci vorrebbero almeno tre ore per visitare il Colosseo.","Ci sono molti turisti, quindi ___ almeno tre ore per visitare il Colosseo.","There are a lot of tourists, so it would take at least three hours to visit the Colosseum.","","","ci vuole","ci vorrebbero","ci mette","ci mettiamo","B","A2","Volerci vs. Metterci","The impersonal verb 'volerci' is used to express the time or resources needed for something. In this conditional context, 'ci vorrebbero' (it would take) is the correct plural form to agree with 'tre ore'.","https://www.lawlessitalian.com/grammar/verbs/volerci-vs-metterci/"
"Se fossi ricco, mi comprerei una casa in montagna.","Se fossi ricco, mi ___ una casa in montagna.","If I were rich, I would buy a house in the mountains.","","","compravo","compro","comprerei","comprerò","C","A2","Condizionale Presente","The present conditional (comprerei) is used to express a hypothetical situation in the present or future, often introduced by 'se' (if) + imperfetto congiuntivo.","https://www.lawlessitalian.com/grammar/verbs/conditional/"
"Dovrei studiare di più per l'esame di storia.","___ studiare di più per l'esame di storia.","I should study more for the history exam.","","","Dovrei","Devo","Dovrò","Dovevo","A","A2","Condizionale Presente","The conditional tense (Dovrei) is used to give advice or make suggestions, translating to 'I should'.","https://www.lawlessitalian.com/grammar/verbs/conditional/"
"Non ti preoccupare, ho già risolto il problema.","Write: Don't worry, I have already solved the problem.","Don't worry, I have already solved the problem.","","","Non ti preoccupare, ho già risolto il problema.","Non preoccupare, ho già risolto il problema.","Non ti preoccupi, ho già risolto il problema.","Non ti preoccupavi, ho già risolto il problema.","A","A2","Imperativo Formale","The phrase 'Non ti preoccupare' uses the informal imperative to tell someone not to worry. This is a common phrase and the correct structure for a direct command with a reflexive verb in the negative.","https://www.lawlessitalian.com/grammar/verbs/imperative-informal/"
"Ce li ha dati ieri il professore.","___ ha dati ieri il professore.","The professor gave them to us yesterday.","","","Ce la","Ce li","Gliela","Te li","B","A2","Pronomi Combinati","The combined pronoun 'ce li' means 'us them'. It is formed by combining the indirect object pronoun 'ci' (to us) and the direct object pronoun 'li' (them, masculine plural). The past participle 'dati' agrees in gender and number with the direct object 'li'.","https://www.lawlessitalian.com/grammar/pronouns/combined-pronouns/"
"Il nonno mi raccontava sempre delle storie fantastiche.","Il nonno mi ___ sempre delle storie fantastiche.","Grandpa always used to tell me fantastic stories.","","","raccontava","ha raccontato","racconterà","racconti","A","A2","Imperfetto vs. Passato Prossimo","The imperfetto (raccontava) is used to describe a habitual or repeated action in the past, indicated by the word 'sempre' (always).","https://www.lawlessitalian.com/grammar/passato-prossimo-vs-imperfetto/"
"Vorrei parlare con te del progetto.","Vorrei parlare ___ te del progetto.","I would like to speak with you about the project.","","","di","con","su","a","B","A2","Preposizioni Semplici","The preposition 'con' means 'with' and is used to express who you are talking to or doing an activity with. 'Parlare con qualcuno' is the correct phrase.","https://www.lawlessitalian.com/grammar/prepositions/con-preposition/"
"Glielo posso dare domani.","___ posso dare domani.","I can give it to him/her/you (formal) tomorrow.","","","Gliela","Glieli","Glielo","Te lo","C","A2","Pronomi Combinati","The combined pronoun 'glielo' is a combination of 'gli' (to him, to her, to you formal) and 'lo' (it, masculine). It is used when 'gli' is followed by a direct object pronoun.","https://www.lawlessitalian.com/grammar/pronouns/combined-pronouns/"
"Ce l'hai tu la penna?","___ tu la penna?","Do you have the pen?","","","Ce l'ho","Ci hai","Ce l'hai","Te l'hai","C","A2","Pronomi Combinati","The phrase 'Ce l'hai?' is a common idiomatic way of asking 'Do you have it?'. It is a combination of the adverbial pronoun 'ci' (in the sense of 'have') and the direct object pronoun 'la' (referring to 'la penna'), which elides to 'l''.","https://www.lawlessitalian.com/grammar/pronouns/combined-pronouns/"
"Mi ha detto che te li presta volentieri.","Mi ha detto che ___ presta volentieri.","He told me that he'd be happy to lend them to you.","","","le li","te li","ci le","ve ne","B","A2","Pronomi Combinati","This sentence requires a combined pronoun to indicate 'to you' (te) and 'them' (li). The indirect object pronoun 'te' comes before the direct object pronoun 'li' to form 'te li'.","https://www.lawlessitalian.com/grammar/combined-pronouns/"
"Non ho la macchina, ma mia sorella gliela presta sempre.","Non ho la macchina, ma mia sorella ___ presta sempre.","I don't have a car, but my sister always lends it to him/her.","","","me la","gliela","ce lo","le lo","B","A2","Pronomi Combinati","The combined pronoun 'gliela' is used to replace 'a lui/lei' (to him/her) and 'la macchina' (the car). The indirect object pronoun 'gli/le' becomes 'glie' before a direct object pronoun (lo, la, li, le).","https://www.lawlessitalian.com/grammar/combined-pronouns/"
"Per la festa, potremmo comprare del vino e portarglielo.","Per la festa, potremmo comprare del vino e ___.","For the party, we could buy some wine and take it to him/her.","","","portarcielo","portarteli","portarglielo","portarmelo","C","A2","Pronomi Combinati","The infinitive verb 'portare' (to bring) is attached to the combined pronoun 'glielo', which means 'to him/her' (gli) and 'it' (lo). The infinitive drops its final 'e' before attaching the pronouns.","https://www.lawlessitalian.com/grammar/combined-pronouns/"
"Vorrei tanto viaggiare di più, ma non ho abbastanza soldi.","___ tanto viaggiare di più, ma non ho abbastanza soldi.","I would really like to travel more, but I don't have enough money.","","","Vorrei","Vorrai","Volevo","Volere","A","A2","Condizionale Presente","The present conditional 'vorrei' is the correct form for expressing a desire or a wish, 'I would like'. It is the first-person singular of the verb 'volere' in the conditional mood.","https://www.lawlessitalian.com/grammar/present-conditional/"
"Dovresti studiare un po' di più per l'esame.","___ studiare un po' di più per l'esame.","You should study a little more for the exam.","","","Potrebbe","Dovremmo","Dovresti","Potrei","C","A2","Condizionale Presente","The present conditional 'dovresti' is used to give advice or a suggestion to 'you' (tu). It is the second-person singular of the verb 'dovere' in the conditional mood.","https://www.lawlessitalian.com/grammar/present-conditional/"
"Mentre andavamo al cinema, ha cominciato a piovere.","Mentre ___ al cinema, ha cominciato a piovere.","While we were going to the movies, it started to rain.","","","siamo andati","andavamo","eravamo andati","andiamo","B","A2","Imperfetto vs. Passato Prossimo","The imperfetto 'andavamo' is used to describe a continuous or ongoing action ('while we were going'), which serves as the background for a completed event ('it started to rain') in the passato prossimo.","https://www.lawlessitalian.com/grammar/passato-prossimo-vs-imperfetto/"
"Dove sei andato ieri?","Dove ___ ieri?","Where did you go yesterday?","second person singular","","eri","sei andato","sei","andavi","B","A2","Verbo Essere e Presente Indicativo","This question requires the passato prossimo form of 'andare' with the auxiliary verb 'essere'. 'Sei andato' is the correct second-person singular form, matching 'you'.","https://www.lawlessitalian.com/grammar/essere-andare-past-participle/"
"Paolo sta leggendo un libro in biblioteca.","Paolo ___ leggendo un libro in biblioteca.","Paolo is reading a book in the library.","","","sta","stai","stiamo","sono","A","A2","Stare + Gerundio","The present progressive is formed with a conjugated form of 'stare' followed by a gerund. 'Sta' is the correct third-person singular conjugation of 'stare' for 'Paolo'.","https://www.lawlessitalian.com/grammar/stare-gerundio-present-progressive/"
"Sono molto stanco perché ho lavorato fino a tardi.","___ molto stanco perché ho lavorato fino a tardi.","I am very tired because I worked until late.","","","Ero","Sei","Sono","Siamo","C","A2","Verbo Essere e Presente Indicativo","The verb 'sono' is the correct first-person singular conjugation of 'essere' (to be) in the present tense, agreeing with the implied subject 'io' (I).","https://www.lawlessitalian.com/grammar/verbs/essere/"
"La ragazza che lavora in biblioteca è mia cugina.","La ragazza ___ lavora in biblioteca è mia cugina.","The girl who works in the library is my cousin.","","","che","cui","quale","chi","A","A2","Pronomi Relativi","'Che' is the most common relative pronoun, used as subject or direct object. It means 'who/that/which' and never changes form.","https://www.lawlessitalian.com/grammar/relative-pronouns/"
"Il libro di cui ti ho parlato è molto interessante.","Il libro di ___ ti ho parlato è molto interessante.","The book I told you about is very interesting.","","","che","cui","chi","quale","B","A2","Pronomi Relativi","'Cui' is used after prepositions (di, a, con, etc.). 'Parlare di' requires 'cui' after the preposition 'di'.","https://www.lawlessitalian.com/grammar/relative-pronouns/"
"Ogni mattina bevo il caffè.","___ mattina bevo il caffè.","Every morning I drink coffee.","","","Ogni","Tutto","Alcuni","Qualche","A","A2","Aggettivi e Pronomi Indefiniti","'Ogni' (every/each) is invariable and always followed by a singular noun. It never changes for gender or number.","https://www.lawlessitalian.com/grammar/indefinite-adjectives/"
"Non ho visto nessuno alla festa.","Non ho visto ___ alla festa.","I didn't see anyone at the party.","","","nessuno","qualcuno","alcuni","tutti","A","A2","Aggettivi e Pronomi Indefiniti","'Nessuno' means 'no one/nobody' when used as a pronoun. With 'non' it creates a negative statement.","https://www.lawlessitalian.com/grammar/indefinite-pronouns/"
"Vengo da Milano.","Vengo ___ Milano.","I come from Milan.","","","di","da","a","in","B","A2","Preposizioni Semplici","The preposition 'da' indicates origin or provenance. 'Venire da' means 'to come from'.","https://www.lawlessitalian.com/grammar/prepositions/"
"Studio italiano da tre anni.","Studio italiano ___ tre anni.","I have been studying Italian for three years.","","","per","da","di","in","B","A2","Preposizioni Semplici","'Da' with time expressions indicates duration from a starting point continuing to the present.","https://www.lawlessitalian.com/grammar/prepositions/"
"Noi siamo studenti universitari.","Noi ___ studenti universitari.","We are university students.","","","siamo","sono","siete","sei","A","A2","Verbo Essere e Presente Indicativo","The verb 'essere' conjugates as 'siamo' for first person plural (noi). This is an essential conjugation.","https://www.lawlessitalian.com/grammar/verb-essere/"
"I bambini vanno a scuola alle otto.","I bambini ___ a scuola alle otto.","The children go to school at eight o'clock.","","","vanno","va","andiamo","vai","A","A2","Verbo Essere e Presente Indicativo","'Andare' is irregular in the present tense. Third person plural is 'vanno' for plural subjects like 'i bambini'.","https://www.lawlessitalian.com/grammar/present-tense/"
"La ragazza che abita qui è molto gentile.","La ragazza ___ abita qui è molto gentile.","The girl who lives here is very kind.","","","che","cui","quale","chi","A","A2","Pronomi Relativi","Use 'che' as a relative pronoun for the subject or direct object of the relative clause.","https://www.lawlessitalian.com/grammar/relative-pronouns/"
"In questo ristorante si mangiano ottimi piatti di pesce.","In questo ristorante si ___ ottimi piatti di pesce.","In this restaurant excellent fish dishes are eaten.","","","mangiano","mangia","mangiamo","mangiate","A","A2","Si Impersonale","With si impersonale and plural direct objects, the verb agrees with the plural noun (piatti = mangiano).","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Si studia meglio in biblioteca.","___ studia meglio in biblioteca.","One studies better in the library.","","","Si","Ci","Ne","Vi","A","A2","Si Impersonale","Use 'si' for impersonal constructions meaning 'one does' or 'people do'.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Mentre leggevo il giornale, ha telefonato mia madre.","Mentre ___ il giornale, ha telefonato mia madre.","While I was reading the newspaper, my mother called.","","","leggevo","ho letto","leggo","leggerò","A","A2","Imperfetto vs. Passato Prossimo","Use imperfetto for ongoing background actions. The phone call interrupts the reading.","https://www.lawlessitalian.com/grammar/imperfetto-vs-passato-prossimo/"
"Ieri sera sono andato al cinema con gli amici.","Ieri sera ___ andato al cinema con gli amici.","Last night I went to the cinema with friends.","","","sono","andavo","vado","andrò","A","A2","Imperfetto vs. Passato Prossimo","Use passato prossimo for completed actions at a specific time. 'Ieri sera' indicates a specific moment.","https://www.lawlessitalian.com/grammar/passato-prossimo/"
"Da piccola giocavo sempre nel parco vicino a casa.","Da piccola ___ sempre nel parco vicino a casa.","As a little girl, I always played in the park near home.","feminine speaker","","giocavo","ho giocato","gioco","giocherò","A","A2","Imperfetto vs. Passato Prossimo","Use imperfetto for habitual actions in the past. 'Sempre' indicates repetition.","https://www.lawlessitalian.com/grammar/imperfetto/"
"Gliele ho date ieri mattina.","___ ho date ieri mattina.","I gave them to her yesterday morning.","","","Gliele","Le gli","A lei le","Glielo","A","A2","Pronomi Combinati","Combined pronouns: gli/le (to him/her) + le (them feminine) = gliele. Past participle agrees with feminine plural direct object.","https://www.lawlessitalian.com/grammar/combined-pronouns/"
