"complete_sentence","question_text","english_translation","hint","alternate_correct_responses","option_a","option_b","option_c","option_d","correct_option","cefr_level","topic","explanation","resource"
"Posso prendere in prestito la tua bicicletta?","Posso ___ in prestito la tua bicicletta?","Can I borrow your bicycle?","","","prendere","dare","fare","mettere","A","A2","Prestare e chiedere in prestito","The fixed phrase for 'to borrow' (receiving something) is 'prendere in prestito'.",""
"Non vado mai in quel ristorante perché si mangia male.","Non vado ___ in quel ristorante perché si mangia male.","I never go to that restaurant because the food is bad.","","","mai","sempre","spesso","ancora","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","To express 'never', Italian uses the double negative construction 'non... mai'.","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Luigi non abita più qui, si è trasferito un mese fa.","Luigi non abita ___ qui, si è trasferito un mese fa.","Luigi doesn't live here anymore, he moved a month ago.","","","più","niente","nessuno","mai","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","'Non... più' means 'not anymore' or 'no longer', indicating a situation that was true in the past but has stopped.","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Ho fame ma non c'è niente da mangiare in casa.","Ho fame ma non c'è ___ da mangiare in casa.","I'm hungry but there is nothing to eat in the house.","","","niente","qualcosa","tutto","nessuno","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","The sentence requires a negative to match 'non c'è'. 'Niente' (nothing) fits the context of food. 'Nessuno' (nobody) refers to people.","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Domani devo svegliarmi presto per andare al lavoro.","Domani devo ___ presto per andare al lavoro.","Tomorrow I must wake up early to go to work.","Reflexive verb","","svegliarmi","mi sveglio","svegliato","svegliando","A","A2","Verbi modali + infinito","After a modal verb like 'dovere' (conjugated as 'devo'), the following verb must be in the infinitive. For reflexive verbs, the pronoun can be attached to the end of the infinitive (svegliarmi).","https://www.lawlessitalian.com/grammar/modal-verbs/"
"In inverno spesso c'è la nebbia e non si vede bene la strada.","In inverno spesso c'è la ___ e non si vede bene la strada.","In winter there is often fog and you can't see the road well.","Weather condition affecting visibility","","nebbia","pioggia","caldo","sole","A","A2","Tempo (weather) – esteso","The phrase 'c'è la nebbia' means 'it is foggy' (literally 'there is the fog'). This fits the context of not being able to see the road well.","https://www.lawlessitalian.com/vocabulary/weather/"
"Ho dimenticato il portafoglio, posso prendere in prestito dieci euro?","Ho dimenticato il portafoglio, posso ___ in prestito dieci euro?","I forgot my wallet, can I borrow ten euros?","Part of the phrase for 'to borrow'","","prendere","fare","dare","prestare","A","A2","Prestare e chiedere in prestito","The fixed phrase 'prendere in prestito' means 'to borrow' (literally: to take in loan). 'Prestare' alone means 'to lend'.",""
"Se hai freddo, ti presto la mia giacca.","Se hai freddo, ti ___ la mia giacca.","If you are cold, I'll lend you my jacket.","The speaker is giving the jacket","","presto","prendo","chiedo","restituisco","A","A2","Prestare e chiedere in prestito","The verb 'prestare' (to lend) is used when the subject gives something to someone else temporarily. 'Restituisco' means 'I return'.",""
"Abitavo a Roma, ma adesso non abito più in Italia.","Abitavo a Roma, ma adesso non abito ___ in Italia.","I used to live in Rome, but now I don't live in Italy anymore.","Indicates a change from the past","","più","mai","ancora","niente","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","The construction 'non... più' means 'not anymore' or 'no longer'. It is used to contrast a past state with the present.","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Non trovo niente di interessante da guardare in televisione.","Non trovo ___ di interessante da guardare in televisione.","I can't find anything interesting to watch on television.","","","niente","nessuno","mai","qualche","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","'Non... niente' forms the double negative for 'nothing' or 'not... anything'. It is often followed by 'di' + adjective (niente di interessante).","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Non vado mai al mare perché non so nuotare.","Non vado ___ al mare perché non so nuotare.","I never go to the seaside because I don't know how to swim.","Frequency adverb","","mai","ancora","già","sempre","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","The construction 'non... mai' means 'never'. In Italian, the negative particle 'non' usually precedes the verb, and 'mai' follows it.","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Abito al terzo piano di questo palazzo.","Abito al ___ piano di questo palazzo.","I live on the third floor of this building.","","","terzo","tre","terza","trente","A","A2","Numeri ordinali","For floors in Italian, use ordinal numbers (primo, secondo, terzo). Ordinals must agree in gender and number with the noun: 'il terzo piano' (masculine singular). Cardinal numbers like 'tre' are not used for floors.","https://www.lawlessitalian.com/grammar/numbers/ordinal-numbers/"
"È la prima volta che visito Roma.","È la ___ volta che visito Roma.","It's the first time I'm visiting Rome.","","","prima","primo","una","un","A","A2","Numeri ordinali","Ordinal numbers agree in gender and number with the noun they modify. 'Volta' (time/occasion) is feminine singular, so 'primo' becomes 'prima'. The phrase 'la prima volta' is a common expression meaning 'the first time'.","https://www.lawlessitalian.com/grammar/numbers/ordinal-numbers/"
"Ti restituisco il libro domani sera.","Ti ___ il libro domani sera.","I'll return the book to you tomorrow evening.","","","restituisco","presto","prendo in prestito","do in prestito","A","A2","Prestare e chiedere in prestito","Use 'restituire' (to return/give back) when returning something you borrowed. 'Prestare' means to lend, and 'prendere in prestito' means to borrow, which don't fit the context of returning an item.","https://www.lawlessitalian.com/vocabulary/borrowing-lending/"
"Sono stanco, quindi resto a casa stasera.","Sono stanco, ___ resto a casa stasera.","I'm tired, so I'm staying home tonight.","","","quindi","perché","quando","se","A","A2","Congiunzioni e connettivi (base)","'Quindi' (therefore/so) is a conjunction that expresses consequence or result. 'Perché' means 'because' (cause, not effect), 'quando' means 'when', and 'se' means 'if'.","https://www.lawlessitalian.com/grammar/conjunctions/"
"Mi piace il caffè, ma preferisco il tè.","Mi piace il caffè, ___ preferisco il tè.","I like coffee, but I prefer tea.","","però","ma","e","quindi","perché","A","A2","Congiunzioni e connettivi (base)","'Ma' (but) is a conjunction that expresses contrast between two clauses. It shows opposition between liking coffee and preferring tea. 'Però' (however/but) is also correct and interchangeable in this context.","https://www.lawlessitalian.com/grammar/conjunctions/"
"Quanti libri hai letto? Ne ho letti tre.","Quanti libri hai letto? ___ ho letti tre.","How many books have you read? I've read three (of them).","","","Ne","Li","Le","Lo","A","A2","Particella ne (base)","The partitive pronoun 'ne' replaces a quantity or partitive expression (of them/of it). When answering 'how many', use 'ne' to refer back to the noun (libri). The past participle 'letti' agrees with the noun replaced by 'ne'.","https://www.lawlessitalian.com/grammar/pronouns/partitive-pronoun-ne/"
"Questa è la prima volta che visito Roma.","Questa è la ___ volta che visito Roma.","This is the first time I'm visiting Rome.","","","uno","prima","primo","una","B","A2","Numeri ordinali","Ordinal numbers must agree in gender and number with the noun they modify. 'Volta' is feminine singular, so we use 'prima' (not 'primo' which is masculine).","https://www.lawlessitalian.com/grammar/ordinal-numbers/"
"Sono stanca, quindi resto a casa stasera.","Sono stanca, ___ resto a casa stasera.","I'm tired, so I'm staying home tonight.","feminine speaker","","ma","perché","quindi","quando","C","A2","Congiunzioni e connettivi (base)","'Quindi' (therefore/so) expresses consequence or result. It connects a cause (being tired) with its logical effect (staying home).","https://www.lawlessitalian.com/grammar/conjunctions/"
"Studio l'italiano perché voglio vivere in Italia.","Studio l'italiano ___ voglio vivere in Italia.","I'm studying Italian because I want to live in Italy.","","","perché","quindi","però","mentre","A","A2","Congiunzioni e connettivi (base)","'Perché' (because) introduces the reason or cause for the main action. It explains why the speaker is studying Italian.","https://www.lawlessitalian.com/grammar/conjunctions/"
"In questa città vivono circa centocinquantamila persone.","In questa città vivono circa ___ persone.","About one hundred fifty thousand people live in this city.","","","centocinquanta","cinquantamila","centocinquantamila","centocinquanta mila","C","A2","Numeri oltre 100","Large numbers in Italian are written as one word. 150,000 is 'centocinquantamila' (cento-cinquanta-mila), with no spaces between the components.","https://www.lawlessitalian.com/grammar/numbers/"
"Ti restituisco i soldi la settimana prossima.","Ti ___ i soldi la settimana prossima.","I'll return the money to you next week.","","","presto","restituisco","prendo in prestito","do in prestito","B","A2","Prestare e chiedere in prestito","'Restituire' means to return or give back something that was borrowed. 'Prestare' means to lend (give), while 'prendere in prestito' means to borrow (receive).","https://www.lawlessitalian.com/vocabulary/borrowing-lending/"
"È la prima volta che mangio la pizza in Italia.","È la ___ volta che mangio la pizza in Italia.","It is the first time I am eating pizza in Italy.","1st","","prima","primo","una","uno","A","A2","Numeri ordinali","The noun 'volta' (time/occasion) is feminine singular, so the ordinal number must agree ('prima' not 'primo').","https://www.lawlessitalian.com/grammar/ordinal-numbers/"
"Vado a letto presto perché sono molto stanco.","Vado a letto presto ___ sono molto stanco.","I go to bed early because I am very tired.","explains the cause","","perché","ma","o","invece","A","A2","Congiunzioni e connettivi (base)","The conjunction 'perché' (because) is used to introduce the cause or reason for an action. 'Ma' (but) would indicate contrast.","https://www.lawlessitalian.com/grammar/conjunctions/"
"Vorrei comprare quella giacca, ma costa troppo.","Vorrei comprare quella giacca, ___ costa troppo.","I would like to buy that jacket, but it costs too much.","expresses contrast","","ma","quindi","perché","quando","A","A2","Congiunzioni e connettivi (base)","'Ma' (but) is the coordinating conjunction used to connect two contrasting clauses. 'Quindi' implies a consequence, which doesn't fit here.","https://www.lawlessitalian.com/grammar/conjunctions/"
"Il biglietto aereo per New York costa cinquecento euro.","Il biglietto aereo per New York costa ___ euro.","The plane ticket to New York costs five hundred euros.","500","","cinquecento","cinque cento","cinquecenti","cinquantacento","A","A2","Numeri oltre 100","Italian numbers are written as a single word. 'Cento' does not have a plural form when multiplied (it remains 'cento', not 'centi'), unlike 'mille' which becomes 'mila'.","https://www.lawlessitalian.com/vocabulary/numbers-101-plus/"
"Quando mi restituisci il libro di storia?","Quando mi ___ il libro di storia?","When are you returning the history book to me?","giving back","","restituisci","presti","prendi","chiedi","A","A2","Prestare e chiedere in prestito","'Restituire' means to return something to its owner. 'Prestare' means to lend, and 'prendere' means to take.",""
"Per andare a Roma in treno ci vogliono tre ore.","Per andare a Roma in treno ci ___ tre ore.","To go to Rome by train, it takes three hours.","Impersonal 'it takes' with plural subject","","vogliono","vuole","mettono","mette","A","A2","Volerci vs. Metterci","With 'volerci', the verb agrees with the thing needed or the time required. Since 'tre ore' is plural, use 'vogliono' (ci vogliono). 'Metterci' requires a person as the subject.","https://www.lawlessitalian.com/grammar/volerci/"
"Noi ci mettiamo solo dieci minuti per prepararci.","Noi ci ___ solo dieci minuti per prepararci.","We take only ten minutes to get ready.","Personal 'we take'","","mettiamo","vuole","metti","vogliamo","A","A2","Volerci vs. Metterci","When a specific person (in this case 'Noi') spends time doing something, use 'metterci'. Conjugated for 'noi', it becomes 'ci mettiamo'.","https://www.lawlessitalian.com/grammar/pronominal-verbs/"
"Il mio ufficio è al terzo piano di questo palazzo.","Il mio ufficio è al ___ piano di questo palazzo.","My office is on the third floor of this building.","Ordinal number 3rd","","terzo","tre","terza","trentesimo","A","A2","Numeri ordinali","Ordinal numbers function as adjectives and must agree in gender and number. 'Piano' is masculine singular, so 'terzo' is the correct form for 'third'.","https://www.lawlessitalian.com/vocabulary/ordinal-numbers/"
"Questa è la prima volta che visito Venezia.","Questa è la ___ volta che visito Venezia.","This is the first time I am visiting Venice.","Ordinal number 1st","","prima","uno","primo","prime","A","A2","Numeri ordinali","'Volta' (time/occasion) is a feminine singular noun. Therefore, the ordinal number 'primo' (first) must become feminine: 'prima'.","https://www.lawlessitalian.com/vocabulary/ordinal-numbers/"
"In biblioteca gli studenti possono prendere in prestito i libri gratuitamente.","In biblioteca gli studenti possono ___ in prestito i libri gratuitamente.","In the library, students can borrow books for free.","Verb used for receiving something","","prendere","dare","prestare","fare","A","A2","Prestare e chiedere in prestito","The phrase for 'to borrow' is 'prendere in prestito' (literally: to take in loan). 'Prestare' means 'to lend' (to give).",""
"Signor Rossi, per favore legga questo documento.","Signor Rossi, per favore ___ questo documento.","Mr. Rossi, please read this document.","Formal imperative","","legga","leggi","leggere","leggo","A","A2","Imperativo Formale","When addressing someone formally (Signor Rossi/Lei), use the subjunctive form for the imperative. For 'leggere', the formal imperative is 'legga'. 'Leggi' is informal (tu).","https://www.lawlessitalian.com/grammar/formal-imperative/"
"La stazione non è vicina, è abbastanza lontano da qui.","La stazione non è vicina, è abbastanza ___ da qui.","The station isn't close, it is quite far from here.","Adverb of place, opposite of 'close'","","lontano","spesso","presto","mai","A","A2","Avverbi di frequenza/tempo/luogo","'Lontano' is an adverb of place meaning 'far'. It contrasts with 'vicina' (close) in this context.","https://www.lawlessitalian.com/grammar/adverbs/"
"Da bambino andavo sempre al mare d'estate.","Da bambino ___ sempre al mare d'estate.","As a child I always went to the sea in summer.","","","andavo","sono andato","vado","andare","A","A2","Ricordi (narrazione semplice)","When narrating habitual actions or repeated events in the past (memories, childhood), use the imperfetto. 'Andavo' (I used to go/I would go) expresses a repeated action. Passato prossimo would indicate a single completed action.","https://www.lawlessitalian.com/grammar/verbs/imperfect/"
"Vorrei del pane fresco per favore.","Vorrei ___ pane fresco per favore.","I would like some fresh bread please.","","","del","il","un","di","A","A2","Confronto articoli (def/indef/partitivi)","Use partitive articles (del, della, dei, delle) to express 'some' or an unspecified quantity. 'Del pane' means 'some bread'. The definite article 'il' would mean 'the bread' (specific), and 'un pane' would mean 'a loaf of bread'.","https://www.lawlessitalian.com/grammar/articles/partitive-articles/"
"Vado spesso in palestra la sera.","Vado ___ in palestra la sera.","I often go to the gym in the evening.","","","spesso","mai","dopo","qui","A","A2","Avverbi di frequenza/tempo/luogo","Adverbs of frequency describe how often an action occurs. 'Spesso' (often) indicates regular but not constant frequency. It typically comes after the verb in simple tenses. 'Mai' means 'never', 'dopo' means 'after', and 'qui' means 'here'.","https://www.lawlessitalian.com/grammar/adverbs/frequency-adverbs/"
"Oggi c'è il sole e fa caldo.","Oggi c'è il sole e ___ caldo.","Today it's sunny and hot.","","","fa","è","c'è","ha","A","A2","Tempo (weather) – esteso","For temperature and general weather conditions, use 'fare': 'fa caldo' (it's hot), 'fa freddo' (it's cold), 'fa bel tempo' (the weather is nice). Use 'c'è' for weather phenomena like 'c'è il sole' (it's sunny), 'c'è vento' (it's windy).","https://www.lawlessitalian.com/grammar/expressions/weather/"
"Conosci Maria? Sì, la vedo ogni giorno.","Conosci Maria? Sì, ___ vedo ogni giorno.","Do you know Maria? Yes, I see her every day.","","","la","lei","le","gli","A","A2","Pronomi diretti","Direct object pronouns replace direct objects. 'La' (her/it-feminine) replaces 'Maria'. It goes before the conjugated verb. Never use subject pronouns like 'lei' as direct objects. 'Le' is the indirect object pronoun, and 'gli' means 'to him'.","https://www.lawlessitalian.com/grammar/pronouns/direct-object-pronouns/"
"Ho preso in prestito il trapano dal mio vicino.","Ho ___ il trapano dal mio vicino.","I borrowed the drill from my neighbor.","","","preso in prestito","prestato","restituito","dato in prestito","A","A2","Prestare e chiedere in prestito","Use 'prendere in prestito' when you borrow something (you receive it from someone). 'Prestare' means to lend (you give), 'restituire' means to return, and 'dare in prestito' is a less common synonym of 'prestare'.","https://www.lawlessitalian.com/vocabulary/borrowing-lending/"
"Il mio ufficio si trova al quinto piano.","Il mio ufficio si trova al ___ piano.","My office is on the fifth floor.","","","cinque","quinto","quinta","cinquo","B","A2","Numeri ordinali","For floors, we use ordinal numbers that agree with 'piano' (masculine singular). 'Quinto' is the correct ordinal form of 'five'.","https://www.lawlessitalian.com/grammar/ordinal-numbers/"
"Ci vediamo domani davanti al cinema.","___ vediamo domani davanti al cinema.","We'll see each other tomorrow in front of the cinema.","","","Ci","Vi","Si","Li","A","A2","Particella ci (base)","'Ci' is used as a reciprocal pronoun meaning 'each other' with the first person plural. 'Ci vediamo' means 'we see each other/we'll see each other'.","https://www.lawlessitalian.com/grammar/adverbial-pronoun-ci/"
"Il film sta per iniziare, sbrigati!","Il film sta ___ iniziare, sbrigati!","The movie is about to start, hurry up!","","","di","a","per","da","C","A2","Stare per + infinito","'Stare per + infinitive' expresses an action that is about to happen in the immediate future. The preposition 'per' is required in this construction.","https://www.lawlessitalian.com/grammar/stare-per/"
"Vorrei prenotare un tavolo per due persone.","Vorrei ___ un tavolo per due persone.","I would like to reserve a table for two people.","","","ordinare","prenotare","chiamare","chiedere","B","A2","Ristorante (menu/prenotare/conti)","'Prenotare' means 'to reserve/book'. It is the correct verb for making restaurant reservations. 'Ordinare' means to order (food), not to reserve.","https://www.lawlessitalian.com/vocabulary/restaurant/"
"Voglio uscire, però piove troppo.","Voglio uscire, ___ piove troppo.","I want to go out, but it's raining too much.","","","però","quindi","perché","anche","A","A2","Congiunzioni e connettivi (base)","'Però' (but/however) expresses contrast between two clauses. It shows the opposition between wanting to go out and the rain preventing it.","https://www.lawlessitalian.com/grammar/conjunctions/"
"Potresti prestarmi il tuo ombrello?","Potresti ___ il tuo ombrello?","Could you lend me your umbrella?","","","prestarmi","restituirmi","prendere in prestito","darmi in prestito","A","A2","Prestare e chiedere in prestito","'Prestare' means to lend (you give to someone). 'Prestarmi' combines the verb with the indirect object pronoun 'mi' (to me). 'Restituire' means to return/give back.","https://www.lawlessitalian.com/vocabulary/borrowing-lending/"
"Abito al terzo piano, non c'è l'ascensore.","Abito al ___ piano, non c'è l'ascensore.","I live on the third floor, there is no elevator.","ordinal number","","tre","terzo","terza","trentesimo","B","A2","Numeri ordinali","Ordinal numbers (first, second, third) act like adjectives and must agree in gender and number with the noun they modify ('piano' is masculine singular). 'Tre' is a cardinal number.","https://www.lawlessitalian.com/vocabulary/ordinal-numbers/"
"Vai spesso a Roma? Sì, ci vado ogni mese per lavoro.","Vai spesso a Roma? Sì, ___ vado ogni mese per lavoro.","Do you go to Rome often? Yes, I go there every month for work.","replaces 'a Roma'","","ne","la","ci","lo","C","A2","Particella ci (base)","The particle 'ci' is used to replace a location (preposition 'a' or 'in' + place) mentioned previously. In this context, it means 'there'.","https://www.lawlessitalian.com/grammar/ci-adverb/"
"Sbrigati! Il treno sta per partire.","Sbrigati! Il treno ___ per partire.","Hurry up! The train is about to leave.","","","è","va","ha","sta","D","A2","Stare per + infinito","To express that something is 'about to' happen in the immediate future, Italian uses the construction 'stare per' followed by the infinitive.","https://www.lawlessitalian.com/grammar/stare-per/"
"Abbiamo finito la cena, chiediamo il conto.","Abbiamo finito la cena, chiediamo il ___.","We finished dinner, let's ask for the bill.","","","conto","menu","piatto","tavolo","A","A2","Ristorante (menu/prenotare/conti)","In a restaurant context, 'il conto' is the bill you ask for at the end of the meal. 'Il menu' is requested at the beginning.","https://www.lawlessitalian.com/vocabulary/restaurant/"
"Vorrei venire al cinema, ma devo studiare.","Vorrei venire al cinema, ___ devo studiare.","I would like to come to the cinema, but I have to study.","","","quindi","ma","o","perché","B","A2","Congiunzioni e connettivi (base)","The conjunction 'ma' (but) is used to introduce a contrast or objection. 'Quindi' means 'therefore', and 'perché' means 'because'.","https://www.lawlessitalian.com/grammar/conjunctions/"
"Ho dimenticato il portafoglio, mi puoi prestare dieci euro?","Ho dimenticato il portafoglio, mi puoi ___ dieci euro?","I forgot my wallet, can you lend me ten euros?","to lend","","restituire","prendere","chiedere","prestare","D","A2","Prestare e chiedere in prestito","'Prestare' means 'to lend' (give temporarily). 'Prendere' or 'chiedere in prestito' would mean 'to borrow' (receive temporarily), which doesn't fit the structure 'mi puoi...' (can you [action] to me).",""
"Prendi l'ombrello, fuori piove.","Prendi l'ombrello, fuori ___.","Take the umbrella, it is raining outside.","","","piove","pioggia","nuvola","caldo","A","A2","Tempo (weather) – esteso","The sentence requires a verb to describe the action of the weather. 'Piove' is the third person singular of 'piovere' (to rain). 'Pioggia' and 'nuvola' are nouns.","https://www.lawlessitalian.com/vocabulary/weather/"
"Ascolto spesso la musica mentre studio.","Ascolto spesso la musica ___ studio.","I often listen to music while I study.","during the time that","","mentre","ma","o","però","A","A2","Congiunzioni e connettivi (base)","'Mentre' (while) is a temporal conjunction used to indicate two actions happening simultaneously. 'Ma' and 'però' express contrast.","https://www.lawlessitalian.com/grammar/conjunctions/"
"Domani ho un esame importante di matematica.","Domani ho un ___ importante di matematica.","Tomorrow I have an important math exam.","masculine noun","","esame","lezione","classe","matita","A","A2","Scuola/Università (base)","The article 'un' indicates a masculine singular noun starting with a vowel. 'Esame' fits this. 'Lezione', 'classe', and 'matita' are all feminine nouns (requiring 'una').","https://www.lawlessitalian.com/vocabulary/school/"
"Scusi, possiamo avere il conto per favore?","Scusi, possiamo avere il ___ per favore?","Excuse me, can we have the bill please?","payment","","conto","tavolo","menu","posto","A","A2","Ristorante (menu/prenotare/conti)","In a restaurant context, 'il conto' refers to the bill or check you ask for at the end of the meal.","https://www.lawlessitalian.com/vocabulary/restaurant/"
"Non vedo nessuno per strada, è deserta.","Non vedo ___ per strada, è deserta.","I don't see anyone on the street, it's deserted.","","","nessuno","niente","mai","ancora","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","'Nessuno' means 'nobody' or 'anyone' (referring to people). 'Niente' refers to things (nothing). Since the sentence refers to a deserted street, 'nessuno' fits the context of people.","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Ragazzi, volete venire al cinema con noi?","Ragazzi, ___ venire al cinema con noi?","Guys, do you want to come to the cinema with us?","addressing a group","","volete","vuoi","vogliamo","vogliono","A","A2","Verbi modali + infinito","The subject is 'Ragazzi' (you all/guys), which corresponds to 'voi' (second person plural). The correct conjugation of 'volere' is 'volete'.","https://www.lawlessitalian.com/grammar/modal-verbs/"
"Signora, si accomodi pure in salotto, il dottore arriva subito.","Signora, si ___ pure in salotto, il dottore arriva subito.","Madam, please make yourself comfortable in the living room, the doctor is coming right away.","Formal command","","accomodi","accomoda","accomodate","accomodare","A","A2","Imperativo Formale","For the formal imperative (Lei), verbs ending in -are use the -i ending (accomodare -> accomodi). 'Accomoda' is the informal (tu) imperative or the formal (Lei) indicative.","https://www.lawlessitalian.com/grammar/formal-imperative/"
"Vorrei prenotare un tavolo per due persone per le otto.","Vorrei prenotare un ___ per due persone per le otto.","I would like to book a table for two people for eight o'clock.","Furniture item in a restaurant","","tavolo","conto","piatto","menu","A","A2","Ristorante (menu/prenotare/conti)","When making a reservation at a restaurant, the standard phrase is 'prenotare un tavolo' (to book a table).","https://www.lawlessitalian.com/vocabulary/restaurant/"
"Non fumo più, ho smesso l'anno scorso.","Non fumo ___, ho smesso l'anno scorso.","I don't smoke anymore, I quit last year.","Indicates a change from the past","","più","mai","niente","ancora","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","The construction 'non... più' means 'not anymore' or 'no longer', indicating that an action (smoking) has stopped.","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Non conosco nessuno a questa festa, sono venuto da solo.","Non conosco ___ a questa festa, sono venuto da solo.","I don't know anyone at this party, I came alone.","Refers to people","","nessuno","niente","qualcosa","mai","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","'Nessuno' means 'nobody' or 'anyone' (in negative sentences). 'Niente' would refer to things, not people.","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Paolo è vegetariano, quindi non mangia mai la carne.","Paolo è vegetariano, quindi non mangia ___ la carne.","Paolo is vegetarian, so he never eats meat.","Adverb of frequency","","mai","ancora","sempre","già","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","The double negative 'non... mai' means 'never'. The context (vegetarian) implies zero frequency of eating meat.","https://www.lawlessitalian.com/grammar/negative-adverbs/"
"Oggi fa molto caldo, ci sono trenta gradi.","Oggi fa molto caldo, ci sono trenta ___.","Today it is very hot, there are thirty degrees.","Unit of temperature measurement","","gradi","metri","venti","tempi","A","A2","Tempo (weather) – esteso","In Italian, temperature is measured in 'gradi' (degrees). 'Venti' means winds (plural of vento) or the number twenty.","https://www.lawlessitalian.com/vocabulary/weather/"
"Per preparare questa torta ci vuole un'ora.","Per preparare questa torta ci ___ un'ora.","To prepare this cake, it takes an hour.","Impersonal 'it takes' with singular time","","vuole","vogliono","mette","mettono","A","A2","Volerci vs. Metterci","Use 'volerci' for impersonal time requirements. Since the time required is singular (un'ora), use the third person singular form 'vuole'.","https://www.lawlessitalian.com/grammar/volerci/"
